"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","3","","com.atbp.lab3.service.WaterServiceTest","","com.atbp.lab3.service.WaterServiceTest","","testCalculateWaterNorm_Success_NormalTemperature",""
"passed","","","48","","RunCucumberTest","","com.atbp.lab3.RunCucumberTest","","Example #1.4",""
"passed","","","36","","RunCucumberTest","","com.atbp.lab3.RunCucumberTest","","Проверка увеличения нормы при жаркой погоде",""
"passed","","","0","","com.atbp.lab3.service.WeatherServiceTest","","com.atbp.lab3.service.WeatherServiceTest","","testGetWeather_KnownCities{String, double}[5]",""
"passed","","","0","","com.atbp.lab3.service.WeatherServiceTest","","com.atbp.lab3.service.WeatherServiceTest","","testGetWeather_KnownCities{String, double}[2]",""
"passed","Tue Apr 28 18:20:32 UTC 2026","Tue Apr 28 18:20:32 UTC 2026","4","","Модульные тесты WaterService","","com.atbp.lab3.service.WaterServiceTest","testBoundaryTemperature_30_1","Граничное значение: температура 30.1°C - увеличение",""
"passed","","","2","","com.atbp.lab3.service.WaterServiceTest","","com.atbp.lab3.service.WaterServiceTest","","testCalculateWaterNorm_NegativeActivity",""
"passed","","","52","","RunCucumberTest","","com.atbp.lab3.RunCucumberTest","","Интеграция с сервисом погоды",""
"passed","Tue Apr 28 18:20:32 UTC 2026","Tue Apr 28 18:20:32 UTC 2026","3","","Модульные тесты WaterService","","com.atbp.lab3.service.WaterServiceTest","testWeatherServiceNotCalledOnValidationError","Проверка: при ошибке валидации WeatherService не вызывается",""
"passed","Tue Apr 28 12:48:28 UTC 2026","Tue Apr 28 12:48:28 UTC 2026","131","","","","","","Интеграция с сервисом погоды",""
"passed","","","0","","com.atbp.lab3.service.WaterServiceTest","","com.atbp.lab3.service.WaterServiceTest","","testCalculateWaterNorm_WeightLessThanMin",""
"passed","Tue Apr 28 18:20:32 UTC 2026","Tue Apr 28 18:20:32 UTC 2026","6","","Модульные тесты WaterService","","com.atbp.lab3.service.WaterServiceTest","testCalculateWaterNorm_Success_HotWeather","Позитивный: при температуре > 30°C норма увеличивается на 20%",""
"passed","Tue Apr 28 18:20:40 UTC 2026","Tue Apr 28 18:20:40 UTC 2026","54","","Расчет дневной нормы воды","","Расчет нормы воды для разных городов и веса","","Расчет нормы воды для разных городов и веса","  Как пользователь системы
  Я хочу получать рекомендации по потреблению воды
  Чтобы поддерживать водный баланс с учетом погоды"
"passed","Tue Apr 28 18:20:40 UTC 2026","Tue Apr 28 18:20:41 UTC 2026","156","","Расчет дневной нормы воды","","Проверка валидации веса","","Проверка валидации веса","  Как пользователь системы
  Я хочу получать рекомендации по потреблению воды
  Чтобы поддерживать водный баланс с учетом погоды"
"passed","","","3","","com.atbp.lab3.service.WaterServiceTest","","com.atbp.lab3.service.WaterServiceTest","","testBoundaryWeight_Min",""
"passed","Tue Apr 28 18:20:32 UTC 2026","Tue Apr 28 18:20:32 UTC 2026","4","","Модульные тесты WaterService","","com.atbp.lab3.service.WaterServiceTest","testCalculateWaterNorm_DifferentActivityTimes","Позитивный: разное время активности",""
"passed","Tue Apr 28 18:20:32 UTC 2026","Tue Apr 28 18:20:32 UTC 2026","14","","Тесты WeatherService","","com.atbp.lab3.service.WeatherServiceTest","testGetWeather_KnownCities","Проверка известных городов [1] city=minsk, expectedTemp=-5.0",""
"broken","Tue Apr 28 12:48:27 UTC 2026","Tue Apr 28 12:48:27 UTC 2026","102","","","","","","Example #1.3",""
"passed","","","2","","com.atbp.lab3.service.WaterServiceTest","","com.atbp.lab3.service.WaterServiceTest","","testCalculateWaterNorm_DifferentActivityTimes",""
"passed","Tue Apr 28 18:20:33 UTC 2026","Tue Apr 28 18:20:33 UTC 2026","3","","Тесты WeatherService","","com.atbp.lab3.service.WeatherServiceTest","testGetWeather_KnownCities","Проверка известных городов [3] city=vitebsk, expectedTemp=15.0",""
"passed","","","2","","com.atbp.lab3.service.WaterServiceTest","","com.atbp.lab3.service.WaterServiceTest","","testCalculateWaterNorm_Success_HotWeather",""
"passed","Tue Apr 28 12:48:27 UTC 2026","Tue Apr 28 12:48:27 UTC 2026","79","","","","","","Example #1.2",""
"broken","Tue Apr 28 12:48:27 UTC 2026","Tue Apr 28 12:48:27 UTC 2026","77","","","","","","Example #1.4",""
"passed","Tue Apr 28 18:20:41 UTC 2026","Tue Apr 28 18:20:41 UTC 2026","75","","Расчет дневной нормы воды","","Проверка валидации веса","","Проверка валидации веса","  Как пользователь системы
  Я хочу получать рекомендации по потреблению воды
  Чтобы поддерживать водный баланс с учетом погоды"
"passed","Tue Apr 28 18:20:33 UTC 2026","Tue Apr 28 18:20:33 UTC 2026","3","","Тесты WeatherService","","com.atbp.lab3.service.WeatherServiceTest","testGetWeather_KnownCities","Проверка известных городов [5] city=brest, expectedTemp=40.0",""
"passed","Tue Apr 28 12:48:27 UTC 2026","Tue Apr 28 12:48:27 UTC 2026","70","","","","","","Example #1.4",""
"broken","Tue Apr 28 12:48:26 UTC 2026","Tue Apr 28 12:48:26 UTC 2026","85","","","","","","Example #1.2",""
"passed","Tue Apr 28 18:20:33 UTC 2026","Tue Apr 28 18:20:33 UTC 2026","6","","Тесты WeatherService","","com.atbp.lab3.service.WeatherServiceTest","testGetWeather_KnownCities","Проверка известных городов [2] city=gomel, expectedTemp=-8.0",""
"passed","Tue Apr 28 12:48:27 UTC 2026","Tue Apr 28 12:48:28 UTC 2026","82","","","","","","Example #1.3",""
"passed","Tue Apr 28 12:48:28 UTC 2026","Tue Apr 28 12:48:28 UTC 2026","67","","","","","","Example #1.3",""
"passed","Tue Apr 28 18:20:32 UTC 2026","Tue Apr 28 18:20:32 UTC 2026","19","","Модульные тесты WaterService","","com.atbp.lab3.service.WaterServiceTest","testParameterizedWaterNorm","Параметризованный тест: разные комбинации веса, активности и города [4] weight=70, activity=60, city=vitebsk, temp=15, expectedNorm=2600, expectedMessage=Normal calculation",""
"passed","Tue Apr 28 18:20:32 UTC 2026","Tue Apr 28 18:20:32 UTC 2026","3","","Тесты WeatherService","","com.atbp.lab3.service.WeatherServiceTest","testGetWeather_CaseInsensitive","Регистронезависимость названия города",""
"passed","Tue Apr 28 18:20:41 UTC 2026","Tue Apr 28 18:20:41 UTC 2026","85","","Расчет дневной нормы воды","","Проверка валидации времени активности","","Проверка валидации времени активности","  Как пользователь системы
  Я хочу получать рекомендации по потреблению воды
  Чтобы поддерживать водный баланс с учетом погоды"
"passed","","","4","","com.atbp.lab3.service.WaterServiceTest","","com.atbp.lab3.service.WaterServiceTest","","testWeatherServiceCalledExactlyOnce",""
